date,TBAL0000
2022-01-01,110.234490429
2022-02-01,493.422965387
2022-03-01,328.917409313
2022-04-01,412.407440232
2022-05-01,351.155613632
2022-06-01,305.060810387
2022-07-01,243.059922753
2022-08-01,6.23111290100042
2022-09-01,-120.168347150001
2022-10-01,127.614243903
2022-11-01,-129.505421357
2022-12-01,196.076751086
2023-01-01,13.2867353749998
2023-02-01,242.557313677
2023-03-01,186.545744074
2023-04-01,224.515282159
2023-05-01,206.076599675
2023-06-01,256.57166198
2023-07-01,221.539133302
2023-08-01,-98.4919728180003
2023-09-01,525.078755016
2023-10-01,-24.8385860070002
2023-11-01,-98.3492496780004
2023-12-01,340.431486091
2024-01-01,439.376322444
2024-02-01,678.868794265
2024-03-01,588.008901167
2024-04-01,595.145078106
2024-05-01,698.920431013
2024-06-01,738.756452246
2024-07-01,462.328847158
2024-08-01,428.635541061
2024-09-01,487.207604042
2024-10-01,400.527675525


 Definition: Balanza comercial, Total (comercio exterior). Source: BCE
