date,RVEN0001
2017-01-01,7103287093.0
2017-02-01,7174116919.0
2017-03-01,8556144266.0
2017-04-01,7866329165.0
2017-05-01,8359969310.0
2017-06-01,8704351745.0
2017-07-01,8220294686.0
2017-08-01,8529523943.0
2017-09-01,8539420686.0
2017-10-01,8902100126.0
2017-11-01,9294003612.0
2017-12-01,11789068890.0
2018-01-01,7867685557.0
2018-02-01,7735950889.0
2018-03-01,8692215721.0
2018-04-01,8586639597.0
2018-05-01,9090979561.0
2018-06-01,9217083455.0
2018-07-01,8967282707.0
2018-08-01,9194532044.0
2018-09-01,9045774372.0
2018-10-01,9457292669.0
2018-11-01,9581283788.0
2018-12-01,11607491010.0
2019-01-01,8226717218.0
2019-02-01,8124960691.0
2019-03-01,8425898185.0
2019-04-01,9065825240.0
2019-05-01,9138550949.0
2019-06-01,8944094339.0
2019-07-01,8980966565.0
2019-08-01,8925121989.0
2019-09-01,8882535129.0
2019-10-01,8630177414.0
2019-11-01,9322600692.0
2019-12-01,11837214585.0
2020-01-01,8182429024.0
2020-02-01,7875598285.0
2020-03-01,5854429080.0
2020-04-01,3690885824.0
2020-05-01,4776816348.0
2020-06-01,6888808873.0
2020-07-01,6855290949.0
2020-08-01,6927338886.0
2020-09-01,7458376215.0
2020-10-01,7870601328.0
2020-11-01,8042198237.0
2020-12-01,11238753771.0
2021-01-01,6789378947.0
2021-02-01,6881127507.0
2021-03-01,8074782527.0
2021-04-01,7690610871.0
2021-05-01,7906984059.0
2021-06-01,10033464068.0
2021-07-01,8496592127.0
2021-08-01,8743502368.0
2021-09-01,9005192390.0
2021-10-01,9040099315.0
2021-11-01,5342558513.0
2021-12-01,8816035157.0
2022-01-01,7793560997.0
2022-02-01,8124002059.0
2022-03-01,5168375795.0
2022-04-01,5112867101.0
2022-05-01,5182877471.0
2022-06-01,6567929881.0
2022-07-01,5200065479.0
2022-08-01,5567601664.0
2022-09-01,5555883719.0
2022-10-01,5579812813.0
2022-11-01,5857858933.0
2022-12-01,10225684500.0
2023-01-01,4500321737.0
2023-02-01,8568026519.0
2023-03-01,5621463912.0
2023-04-01,9413053309.0
2023-05-01,5645875624.0
2023-06-01,8223512634.0
2023-07-01,5283692297.0
2023-08-01,5491367355.0
2023-09-01,5428793829.0
2023-10-01,5443359589.0
2023-11-01,5849637157.0
2023-12-01,10711723725.0
2024-01-01,8355632376.0
2024-02-01,8784520835.0
2024-03-01,6045527117.0
2024-04-01,73882460.0
2024-05-01,5002595269.0
2024-06-01,6587155178.0
2024-07-01,5085175305.0
2024-08-01,5103330194.0
2024-09-01,5164126331.0
2024-10-01,5374246201.0
2024-11-01,5571115474.0
2025-01-01,
2025-02-01,


 Definition: Ventas netas registradas con tarifa diferente de 0. Source: SRI
