date,TBAL0001
2016-01-01,-163.2844245119586
2016-04-01,610.238820100044
2016-07-01,86.14632232367057
2016-10-01,41.80414012785332
2017-01-01,388.61347638070765
2017-04-01,-18.741937828811388
2017-07-01,-509.1974186404932
2017-10-01,-352.1704311199046
2018-01-01,139.5029022291801
2018-04-01,-14.56785420826327
2018-07-01,-298.0761986305588
2018-10-01,-716.6837295285613
2019-01-01,-171.7455103726179
2019-04-01,25.47741233548641
2019-07-01,81.82204489138894
2019-10-01,200.75519681045623
2020-01-01,572.703144121766
2020-04-01,465.0336776231138
2020-07-01,902.144875150092
2020-10-01,559.5390340359627
2021-01-01,449.2536724224801
2021-04-01,788.388187210141
2021-07-01,-206.280528809084
2021-10-01,-121.74289702554417
2022-01-01,276.1700740201213
2022-04-01,524.6757573068571
2022-07-01,-519.9359617782738
2022-10-01,-389.5187440667905
2023-01-01,55.26007421479699
2023-04-01,226.57196773533724
2023-07-01,119.1678114233746
2023-10-01,-291.19384345802064
2024-01-01,1170.4676466074798


 Definition: Balanza comercial BOP. Source: BCE
