date,TIMP0010
2022-01-01,437857.079087
2022-02-01,388335.335213
2022-03-01,518471.852986
2022-04-01,445996.917826
2022-05-01,487240.751013
2022-06-01,490199.444317
2022-07-01,510065.207623
2022-08-01,566062.108416
2022-09-01,556356.870948
2022-10-01,531295.801406
2022-11-01,590868.581959
2022-12-01,517709.452956
2023-01-01,432937.919386
2023-02-01,477633.512273
2023-03-01,550219.412658
2023-04-01,486934.728559
2023-05-01,561888.321354
2023-06-01,545769.052317
2023-07-01,545231.564693
2023-08-01,636197.430934
2023-09-01,563903.047189
2023-10-01,646471.07055
2023-11-01,582380.715703
2023-12-01,522351.760016
2024-01-01,479654.536935
2024-02-01,442967.959297
2024-03-01,507594.490456
2024-04-01,510648.009747
2024-05-01,483301.659888
2024-06-01,452905.699886
2024-07-01,491147.384955
2024-08-01,525996.821296
2024-09-01,505055.381994
2024-10-01,585226.348119


 Definition: Importaciones de bienes de consumo, Total. Source: BCE
