date,TIMP0011
2022-01-01,226654.641029
2022-02-01,208037.253175
2022-03-01,297720.76211
2022-04-01,241442.77839
2022-05-01,265686.211744
2022-06-01,273824.6768
2022-07-01,287612.703134
2022-08-01,311277.18503
2022-09-01,312034.049097
2022-10-01,305039.482108
2022-11-01,337912.953659
2022-12-01,303207.253969
2023-01-01,245286.498733
2023-02-01,265522.026673
2023-03-01,300606.859387
2023-04-01,278853.977175
2023-05-01,321001.722831
2023-06-01,301348.543757
2023-07-01,311442.486586
2023-08-01,358665.17796
2023-09-01,318901.642937
2023-10-01,375226.449438
2023-11-01,354061.731493
2023-12-01,286975.060605
2024-01-01,280776.55428
2024-02-01,259114.200822
2024-03-01,288204.955817
2024-04-01,298227.639078
2024-05-01,285374.60269
2024-06-01,265682.543161
2024-07-01,285687.117891
2024-08-01,299519.928769
2024-09-01,279623.332254
2024-10-01,331403.207174
2024-11-01,314630.082165
2024-12-01,281048.52348


 Definition: Importaciones de bienes de consumo: No duraderos. Source: BCE
